X,Y,OBJECTID,local,oaci,iata,tipo,denominacion,condicion,control,region,fir,uso,trafico,sna,concesion,inhab,provincia,longitud,latitud,elev_m,referencia,distancia_ref,direccion_ref,coordenadas
-59.8808000000552,-36.8367500000853,1,ZUL,SAZA,,Aeródromo,AZUL,PUBLICO,NOCONTROL,RACE,SAEF,CIVIL,Nacional,NO,NO,NO,BUENOS AIRES,-59.8808,-36.83675,146,Azul,3,SO,"36°50'12""S  59°52'51""W"
-62.6713888896225,-32.4897222203592,2,ZLM,,,Aeródromo,BELL VILLE/LA ZULEMA,PRIVADO,NOCONTROL,RANO,SACF,AEROAPP,Nacional,NO,NO,NO,CÓRDOBA,-62.67138889,-32.48972222,129,Bell Ville,13,N,"32°29'23""S  62°40'17""W"
-70.1134638901134,-38.9758861099515,3,ZAP,SAHZ,APZ,Aeródromo,ZAPALA,PUBLICO,NOCONTROL,RACE,SAEF,,Nacional,NO,NO,NO,NEUQUÉN,-70.11346389,-38.97588611,1048,Zapala,7.5,SO,"38°58'33""S  70° 6'48""W"
-56.7957299997103,-29.3587699998794,4,YPY,,,Aeródromo,YAPEYÚ,PRIVADO,NOCONTROL,RANE,SARR,,Nacional,NO,NO,NO,CORRIENTES,-56.79573,-29.35877,53,Yapeyú,12,N,"29°21'32""S  56°47'45""W"
-60.3274999997196,-38.3855555597436,5,YOS,SAZH,OYO,Aeródromo,TRES ARROYOS,PUBLICO,NOCONTROL,RACE,SAEF,,Nacional,NO,NO,NO,BUENOS AIRES,-60.3275,-38.38555556,122,Tres Arroyos,5,SO,"38°23' 8""S  60°19'39""W"
-60.2761111103236,-38.3477777802549,6,YOP,,,Aeródromo,TRES ARROYOS/PETRAZZINI,PRIVADO,NOCONTROL,RACE,SAEF,,Nacional,NO,NO,NO,BUENOS AIRES,-60.27611111,-38.34777778,107,Tres Arroyos,3,N,"38°20'52""S  60°16'34""W"
-61.9760900003765,-33.7787199996483,7,VTS,,,Aeródromo,VENADO TUERTO/SAVESA,PRIVADO,NOCONTROL,RACE,SAEF,,Nacional,NO,NO,NO,SANTA FÉ,-61.97609,-33.77872,110,Venado Tuerto,3,S,"33°46'43""S  61°58'34""W"
-62.0636900004349,-33.6913199996671,8,VTO,,,Aeródromo,VENADO TUERTO/LA SIESTA,PRIVADO,NOCONTROL,RACE,SAEF,,Nacional,NO,NO,NO,SANTA FÉ,-62.06369,-33.69132,112,Venado Tuerto,12,NO,"33°41'29""S  62° 3'49""W"
-54.4878900000009,-26.9531399999185,9,VTE,,,Aeródromo,SAN VICENTE,PUBLICO,NOCONTROL,RANE,SARR,,Nacional,NO,NO,NO,MISIONES,-54.48789,-26.95314,550,San Vicente,2,N,"26°57'11""S  54°29'16""W"
-64.4888888903701,-32.1841666698561,10,VRU,,,Aeródromo,VILLA RUMIPAL/PRIMER TENIENTE MARIO NIVOLI,PUBLICO,NOCONTROL,RANO,SACF,,Nacional,NO,NO,NO,CÓRDOBA,-64.48888889,-32.18416667,666,Villa Rumipal,0,ENE,"32°11' 3""S  64°29'20""W"
